ccode,Name,expReal,pppReal,alphaHat,gdpUSDT,expShareT,priceIndex
AUS,Animal drawn vehicles,0,1.5990939366988013,2.33004350415241e-9,396789422330.2273,0,1.4772030235547269
AUS,"Appliances, articles and products for personal care",11395193239.549213,1.4073359442207591,1.5377246282328731,396789422330.2273,0.028718490459318707,1.4772030235547269
AUS,"Audio-visual, photographic and information processing equipment",15426430621.93967,1.129473849279828,1.9049221375906482,396789422330.2273,0.0388781296924318,1.4772030235547269
AUS,Beef and veal,2668849630.569769,1.5447930190575814,2.426161588945942,396789422330.2273,0.0067261108295085135,1.4772030235547269
AUS,Beer,7444851688.28996,1.9276195092691,0.3608248329102724,396789422330.2273,0.018762727203181326,1.4772030235547269
AUS,Bicycles,60960418.726410806,1.1271243459220002,0.021183184953101657,396789422330.2273,1.5363418300923509e-4,1.4772030235547269
AUS,Bread,3953962433.9196954,1.709243609215287,0.405119729571031,396789422330.2273,0.009964888707716148,1.4772030235547269
AUS,Butter and margarine,865901678.2016807,0.932637299779055,0.14612516837416437,396789422330.2273,0.0021822700643492343,1.4772030235547269
AUS,Carpets and other floor coverings,1670651212.238992,1.0414655605997547,0.1222058486447957,396789422330.2273,0.0042104227537814645,1.4772030235547269
AUS,Cheese,2504355039.5572805,1.9698780463563847,1,396789422330.2273,0.006311546877560248,1.4772030235547269
AUS,"Clothing materials, other articles of clothing and clothing accessories",1795523870.604489,1.4835938827109543,0.21938674359765425,396789422330.2273,0.004525130382911688,1.4772030235547269
AUS,"Coffee, tea and cocoa",1509694747.496614,1.6873163491631036,0.6591141500805956,396789422330.2273,0.0038047756884007186,1.4772030235547269
AUS,"Confectionery, chocolate and ice cream",6886439864.558101,1.7076865464806186,0.7019308802532408,396789422330.2273,0.01735540182527062,1.4772030235547269
AUS,Eggs and egg-based products,684566630.3502753,2.4810269607417714,0.743969337767556,396789422330.2273,0.0017252643135747352,1.4772030235547269
AUS,Electrical and optical equipment,25987104512.085552,1.6267579489490362,12.308932284116219,396789422330.2273,0.06549344072599252,1.4772030235547269
AUS,"Fabricated metal products, except machinery and equipment",1108460161.389893,1.9369095230903703,1.0706726602920325,396789422330.2273,0.0027935728600833997,1.4772030235547269
AUS,Food products nec,7313489267.190402,1.6021624335644165,1.3352070801611835,396789422330.2273,0.018431663889224757,1.4772030235547269
AUS,Fresh milk,2767237209.519373,1.4288146415179024,0.795751332193937,396789422330.2273,0.006974070007381257,1.4772030235547269
AUS,Fresh or chilled fruit,6631068613.737781,1.8671482272667546,1.1443680266303107,396789422330.2273,0.016711807927730204,1.4772030235547269
AUS,Fresh or chilled potatoes,935645927.3752984,1.456359949341563,0.17533393267828173,396789422330.2273,0.002358041506954812,1.4772030235547269
AUS,Fresh or chilled vegetables other than potatoes,5706152570.850728,1.6762520817840287,0.6490140210494739,396789422330.2273,0.014380808181176243,1.4772030235547269
AUS,"Fresh, chilled or frozen fish and seafood",3664255552.736979,1.214264601232672,0.12347245283421994,396789422330.2273,0.00923476117689299,1.4772030235547269
AUS,"Frozen, preserved or processed fruit and fruit-based products",1262907404.266888,2.1079234916202783,0.4599793677263524,396789422330.2273,0.003182815199180979,1.4772030235547269
AUS,"Frozen, preserved or processed vegetables and vegetable-based products",2163144712.830959,1.2481583479557137,0.5009153103078072,396789422330.2273,0.0054516188968129434,1.4772030235547269
AUS,Fuels and lubricants for personal transport equipment,21273173367.91925,1.5959776214475847,31.041710407896698,396789422330.2273,0.05361325723601243,1.4772030235547269
AUS,Furniture and furnishings,8854698213.42082,1.1958856491408336,1.0923455502615627,396789422330.2273,0.022315862558582807,1.4772030235547269
AUS,Garments,19089186949.644493,1.5038422134287743,4.074182307141217,396789422330.2273,0.04810911247971109,1.4772030235547269
AUS,Gas,5262334121.481563,2.537438643599539,9.382731841257364,396789422330.2273,0.013262284288168334,1.4772030235547269
AUS,General purpose machinery,4469597424.95924,1.1639951047006332,2.3969197664053654,396789422330.2273,0.011264406693884661,1.4772030235547269
AUS,"Glassware, tableware and household utensils",3516200399.811937,1.7138298317513818,0.4392247633327049,396789422330.2273,0.008861628364895235,1.4772030235547269
AUS,Household textiles,4112784904.632028,1.146835512242097,0.7749223061161968,396789422330.2273,0.010365157620580849,1.4772030235547269
AUS,"Jams, marmalades and honey",261809181.51327175,1.2847226152807378,0.22815894121834412,396789422330.2273,6.598189537809341e-4,1.4772030235547269
AUS,"Jewellery, clocks and watches",4670373950.896352,1.2734143100729682,0.34406861468135574,396789422330.2273,0.011770409411290811,1.4772030235547269
